model,stage,source_log,absolute_epoch,relative_epoch,loss,ce,smooth,contrast,action_aux,rollout
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,20.0,20.0,4.2736,4.0534,0.0,0.0,0.0,4.4051
AdaLN+R,rollout_ft,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_rollout_ft_20260509.log,21.0,21.0,4.1715,3.9559,0.0,0.0,0.0,4.3122
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,0.0,0.0,4.3327,4.3324,0.0,0.0,0.0064,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,1.0,1.0,4.0356,4.0353,1.8818,0.0,0.0025,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,2.0,2.0,4.0078,4.0073,1.9696,0.0,0.0018,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,3.0,3.0,3.9671,3.9665,2.0799,0.0,0.0017,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,4.0,4.0,3.9242,3.9234,2.1799,0.0,0.0015,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,5.0,5.0,3.8735,3.8725,2.3007,0.0,0.0016,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,6.0,6.0,3.8321,3.8308,2.384,0.0,0.0016,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,7.0,7.0,3.7956,3.794,2.4508,0.0,0.0016,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,8.0,8.0,3.7492,3.7474,2.5491,0.0,0.0015,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,9.0,9.0,3.7229,3.7208,2.6113,0.0,0.0015,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,10.0,10.0,3.6732,3.6708,2.7069,0.0,0.0015,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,11.0,11.0,3.6655,3.6629,2.7532,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,12.0,12.0,3.6289,3.6259,2.808,0.0,0.0015,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,13.0,13.0,3.6065,3.6033,2.8306,0.0,0.0015,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,14.0,14.0,3.5952,3.5916,2.8769,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,15.0,15.0,3.5627,3.5589,2.9463,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,16.0,16.0,3.5396,3.5355,2.9899,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,17.0,17.0,3.5303,3.5259,3.0044,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,18.0,18.0,3.513,3.5083,3.0269,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,19.0,19.0,3.5125,3.5075,3.0376,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,20.0,20.0,3.4841,3.4787,3.0778,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,21.0,21.0,3.4733,3.4676,3.1297,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,22.0,22.0,3.4628,3.4568,3.1256,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,23.0,23.0,3.4586,3.4524,3.1227,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,24.0,24.0,3.439,3.4325,3.1505,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,25.0,25.0,3.4269,3.4202,3.1317,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,26.0,26.0,3.4212,3.4141,3.1656,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,27.0,27.0,3.4036,3.3962,3.1957,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,28.0,28.0,3.4005,3.3929,3.191,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,29.0,29.0,3.3862,3.3783,3.1775,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,30.0,30.0,3.3795,3.3713,3.1757,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,31.0,31.0,3.3749,3.3665,3.1753,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,32.0,32.0,3.3453,3.3366,3.1922,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,33.0,33.0,3.3621,3.3533,3.1342,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,34.0,34.0,3.3502,3.341,3.163,0.0,0.0014,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,35.0,35.0,3.3278,3.3184,3.1697,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,36.0,36.0,3.3412,3.3316,3.1284,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,37.0,37.0,3.3127,3.3028,3.1551,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,38.0,38.0,3.3176,3.3074,3.1289,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,39.0,39.0,3.3,3.2895,3.1528,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,40.0,40.0,3.2893,3.2785,3.1557,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,41.0,41.0,3.2847,3.2736,3.1484,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,42.0,42.0,3.2818,3.2707,3.1083,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,43.0,43.0,3.2685,3.2571,3.122,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,44.0,44.0,3.2583,3.2465,3.1361,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,45.0,45.0,3.2577,3.2457,3.1253,0.0,0.0012,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,46.0,46.0,3.2497,3.2374,3.1335,0.0,0.0013,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,47.0,47.0,3.2395,3.2269,3.1598,0.0,0.0012,
AdaLN+Aux,main,/home/llb/HunyuanWorld-Voyager/bishe/carla_project/logs/train_wm/train_world_model_f8_adaln_aux.log,48.0,48.0,3.2326,3.2199,3.1362,0.0,0.0012,
